Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
LV,2.956773845,100,20.71405597,3.040765024,3.574298418,51.53456,1.6,2.821572309,4.397119999,99.90640259,99.86837006,268179.1,1.35,38.09801717,121.0945011,31.05500161,3.724961325,21,1471919256,18.55506702,33.338,608174,0.997439981,68.222,35.6
LB,1.145867836,100,12.90322581,5.553377481,3.694800615,144.9338367,2.087,4.922417632,2.432450056,93.30500793,96.85466003,1192354,0.099061362,3.64671967,96.04102754,64.32062561,3.073209976,21,39529301,12.76192834,61.09999847,770719,0.984406,88.758,31.8
LS,0.6971505,47,11.5942029,42.18825423,1.210551224,33.3555832,3.141,4.238094766,6.985189915,84.93489075,67.74746704,268179.1,0.809566476,52.13920609,139.3661017,77.63504611,4.53165759,4,1254081,29.06067342,53.59999847,1517760,1.045050025,28.585,44.9
LR,0.430053619,25.9182663,5.1910299,58.43149773,0.302199709,49.95012744,4.315,5.82096229,2.584120035,34.09225845,62.69655991,25000,2.427194604,83.84704334,127.4522759,28.03156146,39.1132363,21.7,16399628226,11.9679998,70.30000305,2388948,0.863579989,51.615,35.3
LT,6.343644373,100,34.20388926,3.414327994,4.519456418,51.53456,1.63,4.889188543,3.812829971,99.83323669,99.79418945,268179.1,1.35,28.96117925,149.693088,47.15526021,3.223970882,21,2527024759,25.25601687,33.338,898175,0.975830019,67.855,37.3
LU,0.91219745,100,25.45679037,5.356611264,15.44261306,51.53456,1.38,0.325616347,3.569590092,4.49542,87.8896,48704,1.945908029,9.031313661,381.5166164,53.71193591,0.226573208,21,789478516,11.31715942,33.338,54417,1.000280023,91.223,34.9
MK,5.238276805,100,16.49484536,1.283610995,3.388998171,75.1015512,1.496,3.175183961,3.300149918,96.69999695,98.80999756,268179.1,0.024049441,24.21812973,138.8272215,50.15860428,8.046818646,20.3,252593569,23.4999906,8.300000191,870719,0.986109972,58.208,34.2
MG,5.300000001,25.90781212,6.015812994,45.45944488,0.156876974,29.90057564,4.077,2.102569679,2.825489998,72.38408661,77.27513885,268179.1,2.656240162,70.17441591,59.88171175,71.18425576,23.33861423,27.7,2679401,17.21931631,61.20000076,16758458,1.018980026,37.861,42.6
MW,3.600006433,18.02,40.30547306,49.64724799,0.075448776,32.51667034,4.209,1.649562331,4.714839935,55.20410919,69.75396729,268179.1,2.640375193,83.6494337,66.60450958,61.4128129,25.54072117,50.79,4437252,12.91956906,65.09999847,15429446,0.98852998,17.174,44.7
MY,1.488265156,100,2.684522904,18.13860307,8.091591623,51.53456,2.001,2.927798195,4.163189888,93.50482941,96.12304688,249999,1.327060649,5.194442589,123.0001837,26.25779942,7.255789665,21,86554988404,37.40141966,33.338,7474011,1.034540057,76.607,41
MV,0.2559014,100,13.00000032,8.159321228,3.03839853,52.7021959,1.87,3.912400211,4.099709988,98.11470795,97.29892731,56851,2.91560605,1.009594693,146.9915196,26.33333365,5.233177735,21,708,11.69872307,30.10000038,317308,0.99188,40.238,31.3
ML,5.900000001,50.9,5.254099771,60.25432518,0.176967052,30.9936127,5.877,1.6588905,3.787309885,25.73516083,46.18413925,268179.1,2.99663676,61.52698472,57.95211376,33.76605283,37.32059716,32.3,3021238,20.92417345,47.20000076,11178343,0.876399994,43.136,33
MT,7.864829471,100,28.34374905,7.002133543,2.947412574,51.53456,1.23,1.157843269,4.824379921,95.98872375,93.00997162,4501,3.651435801,5.355004746,273.7154936,32.43750036,0.71149905,21,758632076,12.46550797,33.338,26826,1.00406003,94.678,29.2
MR,0.649999982,44.52691269,0.436596488,52.7128002,0.657914406,71.55440464,4.561,3.067004864,1.89546001,43.35438919,63.74855042,25002,2.741280273,32.15957247,93.03579516,38.52818473,18.69950882,16.41397,3399,25.31916226,73.19999695,2058875,1.06043005,54.507,32.6
MU,2.543678651,97.46600342,36.94581281,7.264399218,3.442148744,51.53456,1.41,2.98155626,4.719349861,89.36637878,93.35735321,0,0.032240043,11.53736196,92.17452899,42.36453202,2.897378734,21,24298902,17.26688432,33.338,749731,1.024670005,40.766,36.8
MX,6.429855904,100,11.60626559,9.093436836,3.943827403,38.1158696,2.129,1.050305146,4.522819996,94.60804749,96.23290253,268179.1,1.091362132,9.215213455,77.91529344,54.64955374,3.388358384,7.350553,75234337293,30.88271118,16,24948670,1.046270013,80.444,45.4
FM,7.017886,82.09972382,2.857142857,12.70663009,1.297581999,51.53456,3.053,1.536144447,12.40791988,4.49542,87.8896,268179.1,1.037743079,1.196237862,100.8514618,31.42857143,22.51219919,21,16399628226,4.866441438,33.338,87852,1.022619963,22.812,40.1
MD,6.664927518,100,55.55792183,4.470503145,1.825536995,59.8620285,1.262,5.467325235,5.439730167,99.14041901,99.60201263,268179.1,1.35,14.27368871,87.38739573,74.21708726,10.05165031,34.5,24973388,22.77172469,59.20000076,1525350,0.980740011,42.726,25.7
MN,22.29278917,98.1,0.365096947,6.309566022,8.300172198,253.0628898,2.895,3.367089797,4.088590145,98.64888763,98.18601227,268179.1,1.718753097,3.42973729,126.2180656,71.48884055,10.80062215,17.21557608,39589730,38.45332578,38.29999924,1014541,1.02402997,68.543,32.7
ME,2.426267399,100,0.669144981,1.41387632,3.240945327,149.9504362,1.745,4.077992873,4.49542,98.27134705,99.45046997,268179.1,0.011247907,43.00406055,108.511988,18.95910781,6.393841539,21,4246458,16.12944145,27.10000038,204336,1.011240005,67.15,39
MA,3.349072605,100,18.21644634,8.906129377,1.744435849,46.8343033,2.415,1.036395573,5.260640144,64.59137726,83.30135345,268179.1,1.22105093,11.31745963,87.14160376,68.54470087,12.16319049,6,1018014031,25.34464936,9.199999809,13496743,0.951110005,62.994,39.5
MZ,0.020730607,31.1,7.184821588,54.4396366,0.285402032,135.7348387,4.852,0.473500298,5.499849796,50.29513931,72.59944916,30004,2.907137438,86.40050892,116.5471512,63.51890943,26.02672382,27.2,27220071,22.85658459,77.19999695,19273930,0.917689979,36.528,54
MM,10.03887505,66.26457214,16.70239481,21.59729881,0.476580079,15.16457868,2.154,2.246355673,1.93208003,71.84699249,80.01158905,268179.1,0.625548337,61.52781165,60.68898922,19.53818828,21.35405077,21,219420963,37.96077086,56.09999847,37371327,1.01078999,30.852,30.7
NA,3.222187839,53.87387466,0.971711062,45.15033261,1.793035405,51.53456,3.396,2.654057431,8.349610329,91.43643188,91.62741852,8713,1.872480881,26.46842984,83.47556106,47.13891824,6.613173976,21,2508912,26.59383149,42.29999924,1221272,1.013100028,51.042,59.1
NP,7.7600531,93.92,14.74502931,24.82083296,0.333997918,21.01382764,1.917,5.043372216,5.102069855,59.72443008,78.59133911,208549,1.837337077,85.26395819,54.92592114,28.74782002,24.25589183,41.50491273,5993527,13.29568588,49.29999924,22843197,1.046489954,20.153,32.8
NL,3.237532934,100,30.51350549,6.000823844,10.02797271,51.53456,1.59,1.083609597,5.17509985,4.49542,87.8896,80000,0.58572446,5.889463079,156.2244599,53.30958741,1.646288107,21,87120587840,17.70373726,33.338,1409098,1.005849957,91.876,28.5
NI,3.298288509,88.07795715,12.49792255,9.45054217,0.887087256,96.98328464,2.404,3.305396702,4.357679844,82.77935028,82.43855286,268179.1,1.229573677,48.20490919,95.07588362,42.08908094,15.41303163,56.22113,24126468,25.06763697,42.20000076,2699365,1.035159945,58.76,46.2
NE,7.876113938,17.6,13.26280887,59.17361433,0.097016004,26.7491268,6.913,1.960443907,3.547209978,26.64999962,43.59405899,20001,3.793668153,78.93982752,37.79391688,36.0637878,37.80548405,50.3,4597297,20.23350953,58.79999924,19460484,0.838320017,16.517,34.3
NG,27.25740193,56.5,37.33104955,65.20789105,0.647284835,12.65023996,5.387,3.513963445,4.49542,52.65647888,71.25570679,268179.1,2.564841886,86.63562156,34.02387783,77.73642083,21.90629593,34.07294,85424676,27.38253705,53.90000153,98156651,0.930320025,51.157,35.1
NO,5.202524249,100,2.205092497,7.679579779,7.836962479,51.53456,1.56,0.474165157,7.911980152,4.49542,87.8896,140000,0.675061373,57.7720016,72.14649965,2.694078329,1.931982104,21,4636646551,29.10338765,0.001,929678,0.977540016,82.616,27
PK,4.345887146,71.0915467,40.2656704,33.14795923,0.987832348,36.98243704,3.51,3.682762036,2.89951992,46.46767044,71.11599731,268179.1,2.029214863,46.47632492,30.43820826,47.7947281,22.04142176,12.5,396193878,18.3387737,40.09999847,136637556,0.864229977,36.907,33.5
PS,1.351613216,100,8.441860414,20.51811,0.740606555,51.53456,3.643,6.446661461,5.25233984,95.74195099,98.65776062,268179.1,2.511782463,10.47271496,69.20515631,49.32226137,7.359645135,21,13274645,19.28412568,33.338,1103858,1.058120012,76.44,33.7
PA,2.847907388,100,7.573311811,13.36727042,2.654140941,51.53456,2.461,1.318918339,3.159009933,94.8817215,95.96893311,56000,1.651786891,21.23415234,83.20963222,30.36050578,2.125872744,7.020013,1361750579,29.52299972,22.10000038,1356355,1.011700034,68.059,49.2
PG,8.632207094,58.96735764,0.662456388,30.27202678,0.911013497,78.80659117,3.564,3.851133162,1.930889964,57.90000153,65.29000092,38578,1.953679082,52.49865195,131.082911,2.627743674,16.97383549,21,17574763,36.92404501,33.338,7613275,0.857599974,13.25,41.9
PY,8.934086112,100,12.08155047,13.95406885,1.092871037,44.48462904,2.429,2.033639717,3.438339949,93.53170776,94.51148224,268179.1,1.265167271,61.67699459,69.15760135,55.08431915,10.07876113,15.70421,76176090,32.23693066,17.10000038,2685486,1.016010046,61.879,46.2
PE,1.283909991,95.2,2.740625,17.537581,1.856501313,29.68754952,2.254,0.512493735,3.847290039,91.70310974,97.12136841,495345,1.616157197,25.50390552,47.12189258,18.50546875,6.960742874,23.12193257,179330470,30.22376034,33.09999847,7120114,0.952740014,78.099,42.8
PH,1.843683245,94.85723114,18.74769427,24.28166467,1.179649658,20.19484449,2.576,4.604007082,2.537770033,98.24175262,98.12325287,268179.1,1.363994679,27.45154445,68.60690606,41.72116578,8.824422121,10.9,35825933401,30.16588589,42.90000153,57140712,1.026489973,47.149,44.4
PL,3.273736997,100,35.29181227,5.852220822,7.875581533,51.53456,1.46,4.551590867,4.559569836,98.25198364,99.27516937,268179.1,0.012480099,11.91148821,106.3637969,46.94470753,2.346378825,21,20354175965,28.64803137,0.01,15172143,0.98022002,60.037,29.7
PT,4.67729504,100,10.68351748,8.517003445,4.720545309,51.53456,1.42,2.379383843,5.015610218,95.0725174,97.35362244,92133,0.045910037,27.15729839,86.78232742,39.4529404,2.055284332,4.586185807,3595047498,18.89991426,3.599999905,3521605,0.98605001,65.764,33.8
RO,6.452959394,100,37.30006954,5.327697619,3.515261924,51.53456,1.76,4.776799214,3.095390081,98.59976959,99.10800934,268179.1,1.35,23.69779403,84.55986923,58.76651599,4.102620185,1.7,6994469377,28.16288911,12.10000038,8892194,0.998149991,54.084,36
RU,3.351110777,100,7.518031242,3.903452971,11.99943207,29.80679259,1.57,1.410731282,4.689909935,99.73410797,99.72515869,912279,0.106871954,3.304228351,49.07406987,13.29447034,3.448292072,21,10864829654,32.16630339,33.338,36697963,0.977890015,74.587,37.5
RW,18.0452696,34.71657181,46.68422988,38.18091588,0.095533926,62.03904915,4.044,6.612039127,3.073750019,69.39453888,77.55879974,268179.1,2.607652645,86.65537429,57.94717872,73.43737135,23.54719582,6,6816497,18.88981516,42.09999847,10440846,1.009950042,17.313,43.7
WS,15.07193496,100,2.826855124,10.36586606,1.262955252,50.13398192,3.877,3.072436875,4.162220001,99.24504089,98.95609283,268179.1,0.491828867,34.32489441,88.86457502,12.36749117,9.754449529,21,105679,15.58594491,33.338,161509,1.051470041,18.056,38.7
ST,7.017886,71,9.062499801,30.9546637,0.595447455,60.35676786,4.321,1.023715269,5.149069786,89.51573181,96.16268158,268179.1,1.890763323,41.05599898,93.84696,50.72916746,12.4625608,21,191951,12.32906676,85.69999695,56779,1.040549994,73.598,56.3
SN,2.951996118,66.95944977,16.62078637,43.75460785,0.727113125,58.83074017,4.625,2.415936541,4.833280087,39.7985611,64.81227875,268179.1,2.749747408,42.71175163,60.50640246,46.06035423,14.79156783,37.26405569,9412110,24.3804687,29.5,8530658,1.137279987,47.653,40.3
RS,10.66643176,100,29.705008,2.709732238,6.406826438,73.71017397,1.49,4.813348779,3.585390091,98.22827911,99.49970245,20000,1.35,21.17388528,112.082066,39.33226618,5.953788831,23.42707,458079442,25.57405785,3.599999905,3037846,1.006719947,56.26,36.2
SC,9.373065125,100,0.32608697,13.48508641,6.390728477,51.53456,2.41,4.38155693,4.421020031,96.35019684,95.41175842,2634,0.887925293,1.352935548,172.2595368,3.369565114,2.304932134,21,1946595,10.98159442,33.338,41863,1.054939985,57.119,46.8
SL,16.49207422,26.1,21.94513716,56.67575956,0.149104947,44.42212555,4.263,3.305751805,7.702280045,34.85203171,51.6468811,60000,2.109075252,77.66055863,53.51780502,54.71044611,54.34143905,60.7,378767,5.237131874,59.09999847,4493849,1.005910039,42.484,35.7
SK,2.091295757,100,28.01580699,5.104775248,5.970322225,51.53456,1.54,2.18003979,3.939130068,63,87.8896,7423,0.133971298,13.40916822,184.4792494,39.22628952,2.466107319,21,8048293470,28.72078641,33.338,2523688,1.00672996,53.729,25.2
SI,4.448200939,100,9.129183266,2.654956395,6.117461533,51.53456,1.6,2.489904906,4.783239841,99.59999847,99.69000244,9999,0.675280808,20.87739614,159.0275578,30.65633976,2.005825235,21,2333334083,28.88777655,3.700000048,943491,1.013360023,54.822,24.2
SB,7.017886,66.66609955,0.714540908,23.39944205,0.272315022,22.27266537,4.403,1.266267083,9.860630035,69,83.69999695,268179.1,2.565385064,63.3074464,86.92046593,3.8585209,29.70236643,21,171263,25.13374,33.338,507659,0.973439992,24.21,37.1
ZA,3.296329473,91.22987366,10.30426432,35.68035783,8.480658464,54.95012075,2.405,0.247278817,6.505050182,86.45863342,87.67774963,727026,1.338617391,17.15014125,59.20453606,79.83002086,1.884542463,21,1832937779,25.99922187,25.60000038,19408552,1.003010035,66.856,63
ES,0.740282301,100,24.69589497,5.610444665,5.249157873,51.53456,1.26,1.345862171,4.20773983,97.97377777,98.92539215,200000,0.594469675,16.25409774,66.77616463,52.57724744,2.614936711,21,15069892196,20.47796705,5.5,9160400,1.016860008,80.565,34.7
LK,1.758277683,99.58340454,20.73034604,9.470242124,1.101846767,68.75242338,2.199,1.659528188,2.124209881,90.79560089,92.77292633,268179.1,0.611875946,52.87589204,52.37086358,43.69319088,7.417575763,13,79026656,27.39786052,33.338,17750912,1.024160028,18.585,39.8
LC,7.017886,99.53749847,4.918032787,7.9406532,2.301754211,31.99344312,1.436,1.227401354,3.331799984,4.49542,87.8896,0,0.494134202,2.132623536,93.84696,17.37704981,2.011141314,21,5351934,9.967218711,11.19999981,148510,0.998480022,18.754,51.2
SD,1.590159016,59.783535,14.02325,35.54565104,0.501909734,77.0586347,4.407,1.814954094,2.218679905,56.06322861,65.43515015,268179.1,2.391434033,61.59674748,16.66852726,37.44,11.60708963,34.2583961,869554,0.959526057,88.40000153,27856005,0.962260008,34.936,34.2
SZ,1.413767529,76.50398254,10.1744186,42.07940293,1.036913457,15.58521278,2.99,1.180720971,7.070320129,88.54268646,88.2875824,268179.1,1.045309194,66.10465921,89.09226069,71.04651163,8.454585132,14.5,3567980,34.09354922,32.09999847,872797,0.941690028,23.981,54.6
SE,1.09651096,100,6.320984257,5.915461772,4.35875184,51.53456,1.76,0.175669648,7.568830013,4.49542,87.8896,200000,1.077580381,53.2477698,90.48488584,7.442734036,1.444411142,21,17554679389,22.18252897,0.001,1263481,1.041970015,87.708,28.8
CH,5.733883007,100,10.08958403,4.74880947,4.117489823,51.53456,1.52,0.216690512,5.130189896,4.49542,87.8896,259999,0.708089213,25.29198368,119.4384956,38.36344603,0.654732413,21,29879336966,25.60408867,33.338,2242521,0.970459998,73.849,32.7
SY,11.31782979,86,25.3880085,10.65661293,1.651774073,51.53456,2.808,1.345096533,5.130139828,73.6265564,87.75814056,370000,0.96451174,0.521155172,76.47647598,75.81005282,19.5368679,8.8,42302624,35.91176841,37.90000153,7712116,0.982309997,54.821,35.8
TJ,1.100008403,99.3,5.259744938,19.49272772,0.612889431,70.18831493,3.585,4.48344979,5.231389999,99.69999695,99.81999969,268179.1,2.390546289,44.65920392,56.64274416,34.13790619,19.2,8.7,16399628226,27.4,26,6775541,0.931699991,27.309,34
TZ,3.287759568,35.55897903,15.2404606,54.33698863,0.225684764,31.80369021,4.892,2.719899605,3.696439981,73.09382629,83.20484924,268179.1,2.951681673,85.71304194,32.23894101,44.76179725,28.74208607,35.26557,186258425,25.099525,40.09999847,37993578,1.030940056,34.5,40.5
TH,8.274164985,100,32.90336472,13.90396992,4.114223358,34.41602328,1.525,2.065004249,4.1240201,92.42855835,95.20239258,97222,0.283426556,22.86307013,110.3941653,43.27741784,7.984295466,15.7,40263648711,33.41354243,23.70000076,34330982,0.983179987,50.692,36.4
TG,2.295725853,51.34528351,48.72219158,48.56244122,0.399417466,40.01269663,4.32,2.819727291,5.369569778,51.24177933,77.25942993,268179.1,2.420335208,71.26466714,71.65460451,70.2334988,22.54578525,37.08040163,710008,15.42630574,54.29999924,4667728,0.874740005,42.248,43.1
TO,7.017886,98.89260101,25,11.0828438,1.269071421,34.68438305,3.556,2.446200617,3.908040047,99.47502899,99.35098267,268179.1,1.248987063,1.879751582,87.60920134,45.83333333,17.06821878,21,28003,15.37912387,33.338,80349,1.01038003,23.107,37.6
TN,5.197507206,99.8,18.66632338,7.144559056,2.64840154,100.7620933,2.197,1.49480936,6.596010208,72.22377014,86.06011963,268179.1,1.113643743,12.56235035,109.3773991,64.83650875,10.37464096,3.9,840507140,22.73733585,8.199999809,3595658,1.067800045,69.254,32.8
TR,10.6350762,100,26.48155607,5.165318472,4.669466686,58.88006795,2.069,1.435799271,2.750629902,93.49826813,98.81996155,1419610,1.339260351,13.37423004,62.68286374,49.79925419,6.423208383,3.3,4302100256,27.19211702,8.600000381,20331797,0.979900003,75.63,41.9
TV,7.017886,100,14.02325,20.51811,0.980044543,51.53456,2.627643,8.455535869,4.49542,4.49542,87.8896,268179.1,1.192032773,0,93.84696,59.99999841,16.50809106,21,16399628226,7.276344894,33.338,4284,1.022040009,63.215,39.1
UG,6.975722683,42.65,34.41053262,51.66055771,0.143267095,40.79194842,4.955,3.072401728,2.130520105,70.83805847,82.65601349,843469,3.555740529,89.05794898,39.56588749,71.88809096,23.05150806,37.1,19912643,26.29989208,48.29999924,33485078,0.961059988,24.361,42.8
UA,6.287100956,100,56.57960607,3.133815956,4.493971404,78.11748758,1.301,3.827901957,5.412260056,99.95819855,99.99394226,50001,1.35,4.144318039,90.17379013,71.66531444,9.009088796,5.1,1247555874,22.56368246,19,13549776,0.995869994,69.473,26.1
AE,3.550756771,100,0.626584061,7.091691271,22.04082852,51.53456,1.413,0.225275019,4.49542,95.09761047,92.55615997,200000,1.438780445,0.137108046,160.9360929,5.474514049,0.730840171,21,476586475,46.16036914,33.338,1290785,0.948279977,86.789,32.5
GB,4.626633519,100,24.90807161,8.156775141,5.776795985,51.53456,1.68,0.894788653,5.442090034,4.49542,87.8896,1303250,0.56125539,8.711685574,64.28777356,71.71487814,0.610660917,21,78176113114,17.4206874,33.338,10926403,1.01304996,83.652,34.8
US,1.078953113,100,16.64540384,5.302059801,15.50220398,51.53456,1.7295,1.6781254,4.961740017,4.49542,87.8896,4774029,0.473953539,8.716935867,26.31415355,44.369068,0.864583084,21,1.56E+11,18.63860165,33.338,57576495,0.994700015,82.459,41.1
UY,0.190200444,100,13.77328361,7.154288717,1.975862788,51.53456,1.973,1.247312548,5.047589779,99.00773621,98.37136078,268179.1,0.359859761,58.02204118,41.03010207,82.55970523,5.899620456,9.4,116890950,24.17676071,33.338,158340,1.054409981,95.426,39.7
UZ,24.88083804,100,10.34320639,8.208315969,2.882785961,36.98488436,2.419,3.60039615,5.281340122,99.98587036,99.99997711,268179.1,1.877363542,2.9701787,73.0168778,62.92900799,25.51586136,5.3,20483658,33.15585534,52.20000076,16644772,0.991859973,50.433,35.3
VU,0.19988578,61.86476898,1.640689089,16.85704861,0.527000323,44.59357043,3.782,0.784575676,4.533530235,86.70609283,88.30635071,600,2.430920193,36.1110646,97.94713623,15.34044299,25.84241165,21,16399628226,11.05944588,33.338,223730,0.98793,25.394,37.6
VE,24.39555246,100,3.061050961,15.56175006,5.500712738,33.73773408,2.272,3.920542223,6.874680042,97.21370697,97.03910828,268179.1,0.1220584,12.84157855,48.09081353,24.48840769,5.026753566,5.368505,16399628226,37.24468889,44.09999847,3353461,1.019359946,88.24,46.9
VN,8.34941864,100,22.5690973,9.304941124,2.057565917,47.56138197,2.049,5.99486601,4.167449951,93.59671021,96.45677948,268179.1,0.960110494,34.99856984,210.4002453,39.27500242,13.95647559,11.7,90436077041,34.48966334,13.80000019,61129966,0.984406,36.628,35.7
YE,7.017886,62,2.363770669,30.14559271,0.390479572,31.26123771,3.792,2.014195485,5.15143013,35,73.16000366,268179.1,2.300580114,2.276416687,93.84696,44.5972309,5.702669543,17.1,5030503,40.60737235,66.19999695,18292399,0.820739985,37.273,36.7
ZM,43.93674414,39.81262207,5.111717941,56.51785266,0.314182895,119.3470696,4.633,1.047771931,4.618090153,83.08344269,90.60118103,268179.1,2.892372927,87.98545236,68.79104274,32.06392338,2.860718458,35.4,22478701,34.94203675,54.59999847,9989317,0.984406,44.072,57.1
ZW,3.247994788,41.04158401,10.33992504,47.64730062,0.782776887,61.85860518,3.615,3.361137949,5.871349812,88.28382874,89.1853714,268179.1,1.419681046,81.79780855,50.00536144,41.87669639,8.304691095,21,27810712,20.6429069,33.5,9928163,0.970120013,32.21,44.3
